seqno,filename,duration
1,Ganten,1
2,Gov,1
3,Infinity,1
4,ITTF,1
5,(ENG) Frankfurt,1
6,Mont,1
7,Occ,1
8,Tibhar,1
9,Social,1
10,(FR) Frankfurt,1
11,Infinity,1
12,Liebherr,1
13,Social,1
14,App,1
15,Infinity,1
16,Ganten,1
17,(ENG) Frankfurt,1
18,FFTT,1
19,Infinity,1
20,(FR) Frankfurt,1
21,Ganten,1
22,Social,1
23,App,1
24,(ENG) Frankfurt,1
25,FFTT,1
26,Gov,1
27,Liebherr,1
28,(FR) Frankfurt,1
29,App,1
30,Social,1
31,Ganten,1
32,Infinity,1
33,(ENG) Frankfurt,1
34,App,1
35,Mont,1
36,ITTF,1
37,Occ,1
38,Tibhar,1
39,(FR) Frankfurt,1
40,Social,1
